Model run 2021090612Z
Started looking for data at 20:00Z
Loading data off - processing last saved data 
Location;Valid;Forecast;Icon;Partday Icon;Partday Icon;Partday Icon;Partday Icon

Kaitaia; Tue 07 Sep 2021; Showers, clearing to fine in the evening. Northerlies, turning westerly in the afternoon.; Showers; Drizzle;Rain;Showers;Fine;
Auckland; Tue 14 Sep 2021; Showers, clearing to fine. Strong southwesterlies, easing to southerlies.; Showers; Showers;Wind;Fine;Fine;
Auckland; Wed 15 Sep 2021; Fine. Southerly breezes.; Fine; Fine;Fine;Fine;Fine;
Auckland; Thu 16 Sep 2021; Fine, becoming mostly cloudy for a time. Southerly breezes developing for a time.; PartCloudy; Fine;Cloudy;PartCloudy;Fine;


Whitianga; Tue 07 Sep 2021; Rain, easing to a few showers in the evening. Northerlies, turning westerly in the evening.; Rain; Rain;Rain;Rain;Showers;
Whitianga; Wed 08 Sep 2021; A few showers, clearing to fine in the afternoon. Strong westerlies, becoming fresh in the afternoon.; Showers; Fine;WindRain;Showers;Fine;
Whitianga; Thu 09 Sep 2021; Fine, becoming partly cloudy in the afternoon. Westerlies, becoming fresh for a time in the afternoon and evening.; Fine; Fine;Fine;PartCloudy;PartCloudy;
Whitianga; Fri 10 Sep 2021; Partly cloudy. Fresh westerlies, becoming strong for a time in the afternoon and evening.; FewShowers; PartCloudy;Wind;Wind;Cloudy;
Whitianga; Sat 11 Sep 2021; Showers at first, clearing to fine in the morning. Southwesterlies, becoming fresh for a time in the afternoon and evening.; FewShowers; Showers;PartCloudy;Fine;Fine;
Whitianga; Sun 12 Sep 2021; Fine, apart from isolated showers for a time. Westerly breezes.; Fine; Fine;FewShowers;FewShowers;Fine;
Whitianga; Mon 13 Sep 2021; Mostly cloudy. Northwesterlies, becoming fresh for a time.; Cloudy; PartCloudy;Cloudy;Cloudy;Cloudy;
Whitianga; Tue 14 Sep 2021; Showers, clearing to fine. Fresh westerlies, easing to southerly breezes.; Showers; Rain;FewShowers;Fine;Fine;
Whitianga; Wed 15 Sep 2021; Fine. Westerly breezes developing later.; Fine; Fine;Fine;Fine;Fine;
Whitianga; Thu 16 Sep 2021; Fine, becoming mostly cloudy for a time. Westerly breezes.; PartCloudy; Fine;Cloudy;PartCloudy;Fine;


Thames; Tue 07 Sep 2021; A few showers, becoming rain for a time in the afternoon and evening. Fresh northerlies, easing to westerlies in the evening.; Showers; Cloudy;Showers;Rain;FewShowers;
Thames; Wed 08 Sep 2021; Fine at first, then a few showers developing in the morning. Fresh westerlies, becoming strong for a time in the afternoon and evening.; Showers; Fine;Rain;Wind;FewShowers;
Thames; Thu 09 Sep 2021; Fine, becoming partly cloudy in the evening. Fresh westerlies, easing in the afternoon.; Fine; Fine;Fine;Fine;PartCloudy;
Thames; Fri 10 Sep 2021; Partly cloudy, then scattered rain developing in the evening. Northwesterlies, becoming strong in the morning.; FewShowers; PartCloudy;Wind;Wind;Wind;
Thames; Sat 11 Sep 2021; Rain, easing to isolated showers and fine breaks in the morning. Fresh southwesterlies, easing to a light breeze in the evening.; Showers; Rain;Showers;Fine;Fine;
Thames; Sun 12 Sep 2021; Fine, becoming partly cloudy for a time. Westerlies developing for a time.; FewShowers; Fine;PartCloudy;FewShowers;Fine;
Thames; Mon 13 Sep 2021; Mostly cloudy. Fresh northwesterlies, becoming strong later.; Cloudy; PartCloudy;Cloudy;Cloudy;Wind;
Thames; Tue 14 Sep 2021; Showers, clearing to fine. Fresh westerlies, easing to southerly breezes.; Showers; Rain;FewShowers;Fine;Fine;
Thames; Wed 15 Sep 2021; Fine. Westerly breezes developing for a time.; Fine; Fine;Fine;Fine;Fine;
Thames; Thu 16 Sep 2021; Fine, then areas of cloud and isolated showers for a time. Westerly breezes, rising to fresh southwesterlies for a time.; FewShowers; Fine;Cloudy;FewShowers;Fine;


Hamilton; Tue 07 Sep 2021; Cloudy with scattered rain, clearing to fine in the evening. Fresh northerlies, easing to westerlies in the afternoon.; Showers; Cloudy;Showers;Rain;Fine;
Hamilton; Wed 08 Sep 2021; A few showers, clearing to fine in the afternoon. Northwesterlies, rising to strong westerlies in the morning.; FewShowers; Fine;WindRain;Wind;Fine;
Hamilton; Thu 09 Sep 2021; Fine with a few clouds, then becoming cloudy with patchy drizzle for a time in the afternoon and evening. Westerlies, becoming fresh in the morning.; FewShowers; Fine;Fine;Drizzle;Cloudy;
Hamilton; Fri 10 Sep 2021; Partly cloudy, then showers developing in the evening. Fresh westerlies, rising to gale northwesterlies for a time in the afternoon and evening.; FewShowers; FewShowers;Wind;Wind;Rain;
Hamilton; Sat 11 Sep 2021; Showers at first, clearing to fine in the morning. Fresh southwesterlies, easing to westerly breezes in the evening.; FewShowers; Showers;Fine;Fine;Fine;
Hamilton; Sun 12 Sep 2021; Fine, becoming partly cloudy for a time. Westerlies developing for a time.; Fine; Fine;Cloudy;Fine;Fine;
Hamilton; Mon 13 Sep 2021; Cloudy with patchy drizzle, clearing, but remaining partly cloudy. Northwesterlies, becoming fresh for a time.; Cloudy; Cloudy;Drizzle;Fine;Cloudy;
Hamilton; Tue 14 Sep 2021; Showers, clearing to fine. Fresh southwesterlies, easing to southerly breezes.; Showers; Showers;FewShowers;Fine;Fine;
Hamilton; Wed 15 Sep 2021; Fine. Westerly breezes developing.; Fine; Fine;Fine;Fine;Fine;
Hamilton; Thu 16 Sep 2021; Partly cloudy, becoming fine later. Westerlies, easing to light winds later.; PartCloudy; Fine;PartCloudy;PartCloudy;Fine;


Tokoroa; Tue 07 Sep 2021; Drizzle, turning to rain in the morning. Fresh northerlies, easing to westerlies in the evening.; Rain; Drizzle;Rain;Rain;Rain;
Tokoroa; Wed 08 Sep 2021; Showers, clearing to fine in the evening. Northerlies, turning westerly in the morning.; Showers; Cloudy;Showers;FewShowers;Fine;
Tokoroa; Thu 09 Sep 2021; Mainly fine with isolated showers, becoming cloudy with scattered rain in the afternoon. Westerlies.; FewShowers; Fine;Fine;Cloudy;Showers;
Tokoroa; Fri 10 Sep 2021; Drizzle, turning to showers in the morning. Northwesterlies, becoming fresh in the morning.; Showers; Drizzle;FewShowers;Cloudy;Rain;
Tokoroa; Sat 11 Sep 2021; A few showers at first, clearing to fine in the morning. Westerly breezes.; FewShowers; Showers;Fine;Fine;Fine;
Tokoroa; Sun 12 Sep 2021; Fine, apart from isolated showers for a time. Northwesterly breezes, rising to fresh westerlies for a time.; PartCloudy; Fine;Cloudy;FewShowers;Fine;
Tokoroa; Mon 13 Sep 2021; Partly cloudy, with drizzle for a time. Northwesterlies, becoming fresh for a time.; Drizzle; Fine;Drizzle;Drizzle;Drizzle;
Tokoroa; Tue 14 Sep 2021; Showers, clearing to fine later. Southerly breezes developing for a time.; Showers; Rain;Drizzle;FewShowers;Fine;
Tokoroa; Wed 15 Sep 2021; Fine. Westerly breezes developing.; Fine; Fine;Fine;Fine;Fine;
Tokoroa; Thu 16 Sep 2021; Mostly cloudy, becoming fine. Westerlies, easing to light winds.; Cloudy; Cloudy;Cloudy;Fine;Fine;


Te Kuiti; Tue 07 Sep 2021; Drizzle, turning to rain in the morning. Fresh northerlies, easing to westerlies in the afternoon.; Rain; Drizzle;Rain;Rain;FewShowers;
Te Kuiti; Wed 08 Sep 2021; A few showers, clearing to fine in the afternoon. Fresh westerlies, rising to gale southwesterlies for a time in the afternoon and evening.; Showers; Cloudy;Rain;Wind;Fine;
Te Kuiti; Thu 09 Sep 2021; Fine with a few clouds, then isolated showers developing in the evening. Fresh westerlies, easing in the afternoon.; FewShowers; Fine;Fine;Fine;FewShowers;
Te Kuiti; Fri 10 Sep 2021; Partly cloudy, then rain with heavy falls developing in the evening. Westerly breezes, rising to fresh northwesterlies in the morning.; Showers; PartCloudy;PartCloudy;Wind;Rain;
Te Kuiti; Sat 11 Sep 2021; A few showers at first, clearing to fine in the morning. Fresh southwesterlies, easing to a light breeze in the afternoon.; FewShowers; Showers;Fine;Fine;Fine;
Te Kuiti; Sun 12 Sep 2021; Fine, becoming partly cloudy for a time. Westerly breezes developing for a time.; Fine; Fine;Fine;Fine;Fine;
Te Kuiti; Mon 13 Sep 2021; Drizzle, turning to rain later. Northwesterlies, becoming fresh for a time.; Showers; Drizzle;Drizzle;Drizzle;WindRain;
Te Kuiti; Tue 14 Sep 2021; Showers, clearing to fine. Fresh southwesterlies, easing to southerly breezes.; Showers; Rain;FewShowers;Fine;Fine;
Te Kuiti; Wed 15 Sep 2021; Fine, becoming partly cloudy. Southwesterlies developing for a time.; Fine; Fine;Fine;Fine;Fine;
Te Kuiti; Thu 16 Sep 2021; A few showers, clearing for a time, but becoming cloudy. Southwesterlies, easing to light winds.; Cloudy; Drizzle;Cloudy;Cloudy;Fine;


Tauranga; Tue 07 Sep 2021; Rain, easing to a few showers in the evening. Fresh northerlies, easing to westerlies in the evening.; Rain; Rain;Rain;Rain;Rain;
Tauranga; Wed 08 Sep 2021; A few showers, clearing to fine in the afternoon. Westerlies, becoming fresh for a time in the afternoon and evening.; FewShowers; Fine;Rain;FewShowers;Fine;
Tauranga; Thu 09 Sep 2021; Fine, becoming mostly cloudy in the evening. Westerly breezes, becoming fresh in the morning.; Fine; Fine;Fine;Fine;Cloudy;
Tauranga; Fri 10 Sep 2021; Partly cloudy, then scattered rain developing in the evening. Northwesterlies, becoming fresh in the morning.; FewShowers; Cloudy;Cloudy;PartCloudy;Showers;
Tauranga; Sat 11 Sep 2021; Showers at first, clearing to fine in the morning. Fresh southwesterlies, easing to a light breeze in the afternoon.; FewShowers; Showers;Fine;Fine;Fine;
Tauranga; Sun 12 Sep 2021; Fine, becoming partly cloudy for a time. Westerlies developing for a time.; Fine; Fine;Cloudy;Fine;Fine;
Tauranga; Mon 13 Sep 2021; Fine with a few clouds, becoming cloudy. Northwesterlies, becoming fresh for a time.; Cloudy; Fine;Cloudy;Cloudy;Cloudy;
Tauranga; Tue 14 Sep 2021; Showers, clearing to fine. Fresh southwesterlies, easing to southerly breezes.; Showers; Rain;PartCloudy;PartCloudy;Fine;
Tauranga; Wed 15 Sep 2021; Fine. Westerly breezes developing.; Fine; Fine;Fine;Fine;Fine;
Tauranga; Thu 16 Sep 2021; Fine, becoming mostly cloudy for a time. Westerlies, turning southerly later.; PartCloudy; Fine;Cloudy;PartCloudy;Fine;


Whakatane; Tue 07 Sep 2021; Rain, becoming showers in the evening. Fresh northerlies, easing to westerlies in the evening.; Rain; Rain;Rain;Rain;Showers;
Whakatane; Wed 08 Sep 2021; Mainly fine with isolated showers, clearing in the afternoon. Westerlies, becoming fresh for a time in the afternoon and evening.; PartCloudy; Fine;Drizzle;Fine;Fine;
Whakatane; Thu 09 Sep 2021; Fine, becoming partly cloudy in the morning. Westerlies developing in the morning.; Fine; Fine;Cloudy;PartCloudy;PartCloudy;
Whakatane; Fri 10 Sep 2021; Fine with a few clouds, becoming cloudy in the evening. Northwesterlies, becoming strong in the morning.; FewShowers; Fine;Wind;PartCloudy;Wind;
Whakatane; Sat 11 Sep 2021; Showers at first, clearing to fine in the morning. Southwesterlies, easing to light winds in the afternoon.; FewShowers; Showers;Fine;Fine;Fine;
Whakatane; Sun 12 Sep 2021; Fine, becoming partly cloudy for a time. Northwesterly breezes, becoming fresh for a time.; Fine; Fine;Cloudy;Cloudy;Fine;
Whakatane; Mon 13 Sep 2021; Fine, becoming mostly cloudy. Northwesterly breezes, becoming fresh for a time.; Cloudy; Fine;Fine;Cloudy;Cloudy;
Whakatane; Tue 14 Sep 2021; Showers, clearing to fine. Westerlies, turning southerly for a time.; Showers; Rain;FewShowers;Fine;Fine;
Whakatane; Wed 15 Sep 2021; Fine. Northerly breezes developing for a time.; Fine; Fine;Fine;Fine;Fine;
Whakatane; Thu 16 Sep 2021; Fine, becoming cloudy for a time. Easterly breezes developing later.; PartCloudy; Fine;Fine;Cloudy;Fine;


Rotorua; Tue 07 Sep 2021; Rain, easing in the evening. Northerlies, turning westerly in the evening.; Rain; Rain;Rain;Rain;Showers;
Rotorua; Wed 08 Sep 2021; Cloudy with scattered rain, clearing to fine in the afternoon. Westerlies, becoming fresh for a time in the afternoon and evening.; Showers; Cloudy;Rain;FewShowers;Fine;
Rotorua; Thu 09 Sep 2021; Fine with a few clouds, then becoming cloudy with patchy drizzle developing in the afternoon. Fresh westerlies, easing to a light breeze in the afternoon.; Cloudy; Fine;Cloudy;Cloudy;Cloudy;
Rotorua; Fri 10 Sep 2021; Partly cloudy, then showers developing in the evening. Northwesterly breezes, rising to fresh westerlies in the morning.; Showers; Drizzle;Fine;Cloudy;Rain;
Rotorua; Sat 11 Sep 2021; Showers at first, clearing to fine in the morning. Southwesterlies, easing to light winds in the afternoon.; FewShowers; Showers;Fine;Fine;Fine;
Rotorua; Sun 12 Sep 2021; Fine, becoming partly cloudy for a time. Westerlies developing for a time.; Fine; Fine;Cloudy;Cloudy;Fine;
Rotorua; Mon 13 Sep 2021; Mainly fine with isolated showers, clearing for a time, but becoming mostly cloudy. Northerly breezes, rising to fresh northwesterlies for a time.; Cloudy; Fine;Cloudy;Cloudy;Cloudy;
Rotorua; Tue 14 Sep 2021; Showers, clearing to fine later. Westerlies, turning southerly.; Showers; Rain;FewShowers;FewShowers;Fine;
Rotorua; Wed 15 Sep 2021; Fine. Westerly breezes developing.; Fine; Fine;Fine;Fine;Fine;
Rotorua; Thu 16 Sep 2021; Cloudy, becoming fine with high cloud. Westerly breezes developing for a time.; Cloudy; Cloudy;Cloudy;PartCloudy;Fine;


Taupo; Tue 07 Sep 2021; Rain. Northerlies, turning westerly in the evening.; Rain; Rain;Rain;Showers;Rain;
Taupo; Wed 08 Sep 2021; A few showers, clearing to fine in the evening. Westerlies, becoming fresh for a time in the afternoon and evening.; FewShowers; FewShowers;Rain;Rain;Fine;
Taupo; Thu 09 Sep 2021; Partly cloudy, with drizzle developing in the evening. Westerlies, becoming fresh for a time in the afternoon and evening.; Cloudy; Cloudy;Fine;Cloudy;Drizzle;
Taupo; Fri 10 Sep 2021; Partly cloudy, then rain developing in the evening. Fresh westerlies.; Showers; Drizzle;PartCloudy;PartCloudy;Rain;
Taupo; Sat 11 Sep 2021; A few showers at first, clearing to fine in the morning. Southwesterlies, easing to light winds in the evening.; FewShowers; Showers;Fine;Fine;Fine;
Taupo; Sun 12 Sep 2021; Fine with a few clouds, becoming cloudy later. Westerlies.; Cloudy; Fine;Cloudy;Cloudy;Cloudy;
Taupo; Mon 13 Sep 2021; Cloudy with scattered rain, turning to drizzle for a time. Northerly breezes, rising to fresh northwesterlies for a time.; Showers; Cloudy;Drizzle;Drizzle;Rain;
Taupo; Tue 14 Sep 2021; Showers, clearing to fine later. Westerlies, turning southerly.; Showers; Rain;Drizzle;FewShowers;Fine;
Taupo; Wed 15 Sep 2021; Fine. Westerly breezes.; Fine; Fine;Fine;Fine;Fine;
Taupo; Thu 16 Sep 2021; Mostly cloudy, with isolated showers for a time. Westerlies, easing to light winds.; Cloudy; Fine;Cloudy;PartCloudy;Cloudy;


Taumarunui; Tue 07 Sep 2021; Cloudy at first, then rain developing in the morning. Fresh northerlies, easing to westerlies in the afternoon.; Showers; Cloudy;Rain;Showers;Rain;
Taumarunui; Wed 08 Sep 2021; Showers, easing in the afternoon. Northwesterlies, rising to fresh southwesterlies for a time in the afternoon and evening.; Showers; FewShowers;Rain;Showers;FewShowers;
Taumarunui; Thu 09 Sep 2021; Fine with a few clouds, then drizzle developing in the afternoon. Westerlies, becoming fresh for a time in the afternoon and evening.; Cloudy; Fine;Drizzle;Drizzle;Cloudy;
Taumarunui; Fri 10 Sep 2021; A few showers, becoming rain in the afternoon. Northwesterlies, becoming fresh in the morning.; Showers; FewShowers;Wind;Rain;Rain;
Taumarunui; Sat 11 Sep 2021; A few showers, clearing to fine in the afternoon. Southwesterlies, easing to light winds in the evening.; FewShowers; Showers;FewShowers;Fine;Fine;
Taumarunui; Sun 12 Sep 2021; Mainly fine with isolated showers, clearing, but becoming mostly cloudy. Westerly breezes developing for a time.; Cloudy; Fine;FewShowers;Cloudy;Cloudy;
Taumarunui; Mon 13 Sep 2021; Drizzle, turning to rain later. Northwesterlies, becoming fresh for a time.; Showers; Drizzle;Drizzle;Drizzle;WindRain;
Taumarunui; Tue 14 Sep 2021; Rain, clearing to fine. Southwesterlies, easing to light winds later.; Showers; Showers;Rain;Fine;Fine;
Taumarunui; Wed 15 Sep 2021; Fine, becoming mostly cloudy. Westerly breezes developing for a time.; Fine; Fine;Fine;Cloudy;Cloudy;
Taumarunui; Thu 16 Sep 2021; Cloudy with patchy drizzle, clearing for a time, but remaining cloudy. Westerly breezes developing for a time.; Cloudy; Cloudy;Cloudy;Cloudy;Fine;


Gisborne; Tue 07 Sep 2021; Mostly cloudy, with a few showers developing in the afternoon. Northerlies.; FewShowers; Cloudy;Cloudy;Cloudy;Rain;
Gisborne; Wed 08 Sep 2021; Fine, then cloud and patchy drizzle for a time in the afternoon and evening. Fresh northwesterlies, easing to westerly breezes in the afternoon.; FewShowers; Fine;Fine;Cloudy;FewShowers;
Gisborne; Thu 09 Sep 2021; Fine, becoming partly cloudy for a time in the afternoon and evening. Northwesterlies, becoming fresh in the afternoon.; Fine; Fine;Fine;Cloudy;Fine;
Gisborne; Fri 10 Sep 2021; Fine with high cloud. Fresh northwesterlies, easing in the evening.; PartCloudy; PartCloudy;PartCloudy;PartCloudy;PartCloudy;
Gisborne; Sat 11 Sep 2021; Rain at first, clearing to fine in the morning. Northwesterlies, turning southwesterly in the morning.; FewShowers; Rain;Fine;Fine;Fine;
Gisborne; Sun 12 Sep 2021; Fine, becoming partly cloudy for a time. Northwesterlies.; Fine; Fine;Cloudy;Cloudy;Fine;
Gisborne; Mon 13 Sep 2021; Fine. Fresh northwesterlies, becoming strong for a time.; Wind; Fine;Wind;Wind;Wind;
Gisborne; Tue 14 Sep 2021; Showers, some heavy, easing. Westerlies, turning southerly for a time.; Showers; Rain;Showers;FewShowers;FewShowers;
Gisborne; Wed 15 Sep 2021; Mostly cloudy, becoming fine. Southwesterlies, easing to light winds.; Fine; Fine;Cloudy;Fine;Fine;
Gisborne; Thu 16 Sep 2021; Fine with a few clouds, becoming cloudy later. Southerly breezes developing for a time.; Cloudy; Fine;Cloudy;Fine;Cloudy;


Napier; Tue 07 Sep 2021; Mostly cloudy, then rain for a time in the afternoon and evening. Northeasterlies, easing to light winds in the evening.; FewShowers; Cloudy;Cloudy;Rain;Fine;
Napier; Wed 08 Sep 2021; Fine with a few clouds, then becoming cloudy with patchy drizzle for a time in the afternoon and evening. Northwesterly breezes, rising to strong southwesterlies for a time in the afternoon and evening.; FewShowers; Fine;Cloudy;Wind;Fine;
Napier; Thu 09 Sep 2021; Fine, becoming partly cloudy in the afternoon. Northwesterly breezes, rising to fresh westerlies for a time in the afternoon and evening.; Fine; Fine;Fine;PartCloudy;PartCloudy;
Napier; Fri 10 Sep 2021; Fine with high cloud, then a few showers developing in the evening. Northwesterlies.; FewShowers; PartCloudy;PartCloudy;PartCloudy;FewShowers;
Napier; Sat 11 Sep 2021; A few showers, clearing to fine in the afternoon. Southwesterlies, easing to light winds in the afternoon.; FewShowers; Cloudy;Fine;FewShowers;Fine;
Napier; Sun 12 Sep 2021; Fine. Northwesterly breezes.; Fine; Fine;Fine;Fine;Fine;
Napier; Mon 13 Sep 2021; Fine. Easterlies, rising to fresh northwesterlies for a time.; Fine; Fine;Fine;Fine;Fine;
Napier; Tue 14 Sep 2021; Rain, clearing to fine. Westerly breezes, rising to fresh southwesterlies for a time.; Showers; Rain;Drizzle;Fine;Fine;
Napier; Wed 15 Sep 2021; Fine, becoming partly cloudy for a time. Northerly breezes developing.; Fine; Fine;Fine;Fine;Fine;
Napier; Thu 16 Sep 2021; Mostly cloudy. Westerly breezes.; Cloudy; Cloudy;Fine;Cloudy;Cloudy;


Hastings; Tue 07 Sep 2021; Mostly cloudy, with a few showers developing in the afternoon. Northeasterlies, becoming fresh for a time in the afternoon and evening.; FewShowers; Cloudy;Cloudy;FewShowers;Fine;
